case,r,probability_density
no_jastrow,3.875,0.0038350377945753464
no_jastrow,3.9250000000000003,0.0029457536682970316
no_jastrow,3.975,0.002501111605157857
jastrow,0.025,0.0006112775144344849
jastrow,0.07500000000000001,0.006612911292518519
jastrow,0.125,0.01911631499686025
jastrow,0.17500000000000002,0.03901061955754623
jastrow,0.225,0.064739845846925
jastrow,0.275,0.09008007735439083
jastrow,0.32500000000000007,0.12759028846741616
jastrow,0.375,0.16632305460931035
jastrow,0.42500000000000004,0.20716750671016002
jastrow,0.475,0.25040149818561724
jastrow,0.525,0.28841184544681586
jastrow,0.5750000000000001,0.33036771121027364
jastrow,0.625,0.37426855088329647
jastrow,0.675,0.41989208173336035
jastrow,0.7250000000000001,0.46134781134864555
jastrow,0.775,0.4991358758773218
jastrow,0.8250000000000001,0.5300331756978284
jastrow,0.875,0.5665986851976379
jastrow,0.925,0.5890492411823214
jastrow,0.9750000000000001,0.606943001150314
jastrow,1.025,0.6073319959322254
jastrow,1.0750000000000002,0.6442865002139465
jastrow,1.125,0.6400075576129052
jastrow,1.1750000000000003,0.6445643536295986
jastrow,1.225,0.6544003645436837
jastrow,1.275,0.6347283427155165
jastrow,1.3250000000000002,0.6316719551433441
jastrow,1.375,0.6135559124428311
jastrow,1.4250000000000003,0.6037199015287489
jastrow,1.475,0.5867708431739772
jastrow,1.525,0.5675433868108536
jastrow,1.5750000000000002,0.5370906524553901
jastrow,1.625,0.5192524631705293
jastrow,1.6750000000000003,0.49974715339175624
jastrow,1.725,0.4915226922884581
jastrow,1.775,0.43800812443387327
jastrow,1.8250000000000002,0.42694955849092214
jastrow,1.875,0.3997199237570224
jastrow,1.9250000000000003,0.3716011580930361
jastrow,1.975,0.3520958483142646
jastrow,2.0250000000000004,0.327755889103143
jastrow,2.075,0.2976921495295952
jastrow,2.125,0.28096537390734244
jastrow,2.175,0.2587926713383074
jastrow,2.225,0.23617540330423367
jastrow,2.2750000000000004,0.22428327711432436
jastrow,2.325,0.20161043839711995
jastrow,2.375,0.18755105556512505
jastrow,2.4250000000000003,0.16515607026357235
jastrow,2.475,0.15959900195053153
jastrow,2.5250000000000004,0.13225822585036967
jastrow,2.575,0.1248673249940266
jastrow,2.625,0.11014109396446752
jastrow,2.6750000000000003,0.09919366938777813
jastrow,2.725,0.09402559585665021
jastrow,2.7750000000000004,0.08285588854743747
jastrow,2.825,0.06990791937805317
jastrow,2.875,0.05673766747614598
jastrow,2.9250000000000003,0.05634867269423363
jastrow,2.975,0.049013342521019784
jastrow,3.0250000000000004,0.04223371917910964
jastrow,3.075,0.03817705931059024
jastrow,3.125,0.03156414801807142
jastrow,3.1750000000000003,0.026396074486943765
jastrow,3.225,0.024951236725553157
jastrow,3.2750000000000004,0.01978316319442504
jastrow,3.325,0.017671477235469718
jastrow,3.375,0.014281665564514708
jastrow,3.4250000000000003,0.012781257119993821
jastrow,3.475,0.01016943501286465
jastrow,3.5250000000000004,0.009224733399647633
jastrow,3.575,0.006335057876866503
jastrow,3.625,0.0061127751443448165
jastrow,3.6750000000000003,0.005390356263649568
jastrow,3.725,0.0047790787492150814
jastrow,3.7750000000000004,0.003723235769737298
jastrow,3.825,0.002834104839650804
jastrow,3.875,0.0024451100577379268
jastrow,3.9250000000000003,0.002278398008346725
jastrow,3.975,0.0016671204939122377
