block_size,n_blocks,mean,variance,standard_error
1.0,100000,15.0,0.0,0.0
2.0,50000,15.0,0.0,0.0
4.0,25000,15.0,0.0,0.0
8.0,12500,15.0,0.0,0.0
16.0,6250,15.0,0.0,0.0
32.0,3125,15.0,0.0,0.0
64.0,1562,15.0,0.0,0.0
128.0,781,15.0,0.0,0.0
256.0,390,15.0,0.0,0.0
512.0,195,15.0,0.0,0.0
1024.0,97,15.0,0.0,0.0
2048.0,48,15.0,0.0,0.0
4096.0,24,15.0,0.0,0.0
8192.0,12,15.0,0.0,0.0
16384.0,6,15.0,0.0,0.0
25000.0,4,15.0,0.0,0.0
