bin_center,density,counts,bin_left,bin_right
0.02191781971382952,0.29475602567672404,52.0,0.0,0.04383563942765904
0.06575345914148856,0.2834192554583885,350.0,0.04383563942765904,0.08767127885531809
0.1095890985691476,0.28401592757514316,952.0,0.08767127885531809,0.13150691828297711
0.15342473799680664,0.2834192554583885,1850.0,0.13150691828297711,0.17534255771063617
0.1972603774244657,0.2718037122018971,2925.0,0.17534255771063617,0.21917819713829523
0.24109601685212473,0.26666325991590384,4281.0,0.21917819713829523,0.26301383656595423
0.2849316562797838,0.26556607401219084,5950.0,0.26301383656595423,0.3068494759936133
0.3287672957074428,0.24746358186650766,7378.0,0.3068494759936133,0.35068511542127234
0.3726029351351019,0.2394304972840174,9166.0,0.35068511542127234,0.3945207548489314
0.4164385745627609,0.22476924864618752,10746.0,0.3945207548489314,0.43835639427659046
0.46027421399041996,0.21563838457595366,12592.0,0.43835639427659046,0.48219203370424946
0.504109853418079,0.2021771615763619,14160.0,0.48219203370424946,0.5260276731319085
0.547945492845738,0.18966730814108673,15693.0,0.5260276731319085,0.5698633125595676
0.591781132273397,0.1744453289355217,16834.0,0.5698633125595676,0.6136989519872266
0.6356167717010561,0.1599993774633708,17811.0,0.6136989519872266,0.6575345914148857
0.6794524111287152,0.1469613354308921,18693.0,0.6575345914148857,0.7013702308425447
0.7232880505563741,0.135354375880972,19509.0,0.7013702308425447,0.7452058702702037
0.7671236899840332,0.12363124170637503,20044.0,0.7452058702702037,0.7890415096978628
0.8109593294116924,0.11084535360021068,20083.0,0.7890415096978628,0.8328771491255218
0.8547949688393514,0.09989473074070582,20108.0,0.8328771491255218,0.8767127885531809
0.8986306082670104,0.08904893656828995,19810.0,0.8767127885531809,0.9205484279808399
0.9424662476946695,0.08014614302515453,19611.0,0.9205484279808399,0.9643840674084989
0.9863018871223285,0.07142015971320723,19139.0,0.9643840674084989,1.008219706836158
1.0301375265499875,0.06335797260524838,18521.0,1.008219706836158,1.052055346263817
1.0739731659776464,0.05541861465975906,17608.0,1.052055346263817,1.095890985691476
1.1178088054053057,0.0492751468229037,16960.0,1.095890985691476,1.1397266251191351
1.1616444448329646,0.04405037388586282,16374.0,1.1397266251191351,1.1835622645467943
1.2054800842606237,0.0370630945260526,14836.0,1.1835622645467943,1.2273979039744531
1.2493157236882828,0.0327519617243296,14081.0,1.2273979039744531,1.2712335434021123
1.2931513631159417,0.028480867195393285,13119.0,1.2712335434021123,1.3150691828297714
1.3369870025436008,0.02432267290125166,11976.0,1.3150691828297714,1.3589048222574303
1.38082264197126,0.021203606508462283,11136.0,1.3589048222574303,1.4027404616850894
1.4246582813989188,0.01830375033831295,10233.0,1.4027404616850894,1.4465761011127485
1.468493920826578,0.015722319137070964,9339.0,1.4465761011127485,1.4904117405404074
1.512329560254237,0.013378087286492844,8428.0,1.4904117405404074,1.5342473799680665
1.556165199681896,0.011360757037099519,7578.0,1.5342473799680665,1.5780830193957256
1.600000839109555,0.009622214902602805,6785.0,1.5780830193957256,1.6219186588233845
1.6438364785372142,0.008049133725770104,5991.0,1.6219186588233845,1.6657542982510436
1.687672117964873,0.0070016729041282935,5493.0,1.6657542982510436,1.7095899376787027
1.7315077573925324,0.005640533612156252,4658.0,1.7095899376787027,1.7534255771063618
1.7753433968201913,0.004696201196926865,4077.0,1.7534255771063618,1.7972612165340207
1.8191790362478502,0.004005278504658694,3651.0,1.7972612165340207,1.8410968559616798
1.8630146756755095,0.0032468476432656853,3104.0,1.8410968559616798,1.884932495389339
1.9068503151031684,0.0027767798112727916,2781.0,1.884932495389339,1.9287681348169978
1.9506859545308273,0.00228032997995471,2390.0,1.9287681348169978,1.972603774244657
1.9945215939584866,0.0018754679438640742,2055.0,1.972603774244657,2.016439413672316
2.0383572333861455,0.0015186763249165432,1738.0,2.016439413672316,2.060275053099975
2.0821928728138044,0.0012083734248085553,1443.0,2.060275053099975,2.104110692527634
2.1260285122414633,0.0010723103472777276,1335.0,2.104110692527634,2.147946331955293
2.1698641516691226,0.0008374188856694646,1086.0,2.147946331955293,2.191781971382952
2.213699791096782,0.000700120759137826,945.0,2.191781971382952,2.2356176108106114
2.257535430524441,0.000588423539043934,826.0,2.2356176108106114,2.2794532502382703
2.3013710699520997,0.00046888080961068673,684.0,2.2794532502382703,2.323288889665929
2.3452067093797586,0.0003630618155400321,550.0,2.323288889665929,2.3671245290935885
2.389042348807418,0.00030406105736530153,478.0,2.3671245290935885,2.4109601685212474
2.432877988235077,0.00021775529853420276,355.0,2.4109601685212474,2.4547958079489063
2.476713627662736,0.00018407306765700796,311.0,2.4547958079489063,2.4986314473765656
2.520549267090395,0.00015429619714439987,270.0,2.4986314473765656,2.5424670868042245
2.564384906518054,0.00011980515912042546,217.0,2.5424670868042245,2.5863027262318834
2.608220545945713,8.592505438056743e-05,161.0,2.5863027262318834,2.6301383656595427
2.652056185373372,7.226790959689362e-05,140.0,2.6301383656595427,2.6739740050872016
2.695891824801031,5.844725987244483e-05,117.0,2.6739740050872016,2.7178096445148605
2.7397274642286904,4.643442021333761e-05,96.0,2.7178096445148605,2.76164528394252
2.7835631036563493,2.8583243089959065e-05,61.0,2.76164528394252,2.8054809233701787
2.827398743084008,2.452470121745544e-05,54.0,2.8054809233701787,2.8493165627978376
2.871234382511667,2.6423984659316585e-05,60.0,2.8493165627978376,2.893152202225497
2.9150700219393264,1.7944687916261938e-05,42.0,2.893152202225497,2.936987841653156
2.9589056613669853,1.2025983478371904e-05,29.0,2.936987841653156,2.9808234810808147
3.0027413007946446,7.650729351011367e-06,19.0,2.9808234810808147,3.024659120508474
3.0465769402223035,8.996815782959033e-06,23.0,3.024659120508474,3.068494759936133
3.0904125796499624,4.561774616726814e-06,12.0,3.068494759936133,3.112330399363792
3.1342482190776213,2.587122368401519e-06,7.0,3.112330399363792,3.156166038791451
3.1780838585052806,4.313565940136553e-06,12.0,3.156166038791451,3.20000167821911
3.2219194979329395,1.3989967567514757e-06,4.0,3.20000167821911,3.243837317646769
3.265755137360599,1.3616924170723084e-06,4.0,3.243837317646769,3.2876729570744283
3.3095907767882577,1.6573256269129795e-06,5.0,3.2876729570744283,3.331508596502087
3.3534264162159166,9.685683959391342e-07,3.0,3.331508596502087,3.375344235929746
3.3972620556435755,3.145782290453263e-07,1.0,3.375344235929746,3.4191798753574054
3.441097695071235,0.0,0.0,3.4191798753574054,3.4630155147850643
3.484933334498894,2.9894969195547344e-07,1.0,3.4630155147850643,3.5068511542127236
