bin_center,density,counts,bin_left,bin_right
0.023303223778172944,0.26883031320763,57.0,0.0,0.04660644755634589
0.06990967133451884,0.32003608715194043,475.0,0.04660644755634589,0.09321289511269178
0.11651611889086472,0.2956388762975875,1191.0,0.09321289511269178,0.13981934266903767
0.16312256644721063,0.3018445621980408,2368.0,0.13981934266903767,0.18642579022538355
0.20972901400355648,0.2904016843278282,3756.0,0.18642579022538355,0.23303223778172943
0.2563354615599024,0.267016343482882,5152.0,0.23303223778172943,0.27963868533807534
0.3029419091162483,0.2650424016249284,7137.0,0.27963868533807534,0.3262451328944212
0.34954835667259415,0.2500766569763907,8961.0,0.3262451328944212,0.3728515804507671
0.39615480422894006,0.23696797678897155,10903.0,0.3728515804507671,0.419458028007113
0.4427612517852859,0.21910880062692206,12590.0,0.419458028007113,0.46606447556345887
0.4893676993416318,0.20673445774789329,14509.0,0.46606447556345887,0.5126709231198048
0.5359741468979777,0.1925019397771193,16204.0,0.5126709231198048,0.5592773706761507
0.5825805944543236,0.17759111701817018,17660.0,0.5592773706761507,0.6058838182324966
0.6291870420106696,0.16057909981650828,18624.0,0.6058838182324966,0.6524902657888424
0.6757934895670153,0.14834362683103494,19847.0,0.6524902657888424,0.6990967133451883
0.7223999371233613,0.13377737390586264,20451.0,0.6990967133451883,0.7457031609015342
0.7690063846797072,0.12059235205624749,20890.0,0.7457031609015342,0.7923096084578801
0.8156128322360531,0.10889621472524862,21219.0,0.7923096084578801,0.838916056014226
0.8622192797923989,0.0969119065857057,21103.0,0.838916056014226,0.8855225035705718
0.9088257273487448,0.0861503665278753,20842.0,0.8855225035705718,0.9321289511269177
0.9554321749050907,0.07731999199940637,20673.0,0.9321289511269177,0.9787353986832636
1.0020386224614366,0.068024518596474,20005.0,0.9787353986832636,1.0253418462396096
1.0486450700177825,0.0596355384518779,19207.0,1.0253418462396096,1.0719482937959555
1.0952515175741284,0.05233778864002685,18388.0,1.0719482937959555,1.1185547413523014
1.1418579651304743,0.044748749642907766,17088.0,1.1185547413523014,1.1651611889086473
1.1884644126868202,0.03903112427320573,16146.0,1.1651611889086473,1.2117676364649932
1.235070860243166,0.0339342338256579,15160.0,1.2117676364649932,1.2583740840213389
1.2816773077995118,0.02945778106731099,14172.0,1.2583740840213389,1.3049805315776848
1.3282837553558577,0.025373692391891373,13111.0,1.3049805315776848,1.3515869791340307
1.3748902029122037,0.021309246339107888,11797.0,1.3515869791340307,1.3981934266903766
