case,n_particles,alpha,beta,gamma,hard_core_radius,cycles,burn_in,mean_pair_distance,median_pair_distance,minimum_sampled_pair_distance,acceptance_rate,elapsed_time
no_jastrow,10,0.5,2.82843,2.82843,0.0,8000,800,1.401353965732629,1.3296531372585068,0.02463235832969179,0.6712272727272727,1.8775020520000112
jastrow,10,0.5,2.82843,2.82843,0.0043,8000,800,1.4134247658885173,1.3426432703517017,0.010869886244226822,0.6766022727272727,13.887493248999988
