mode,n_particles,dimensions,alpha,mean_energy,standard_error_naive,variance,acceptance_rate,elapsed_time
analytic,10,3,0.45,15.069767031119225,0.0068745328695775775,0.14177760652470756,0.5301515151515152,0.6761704430000037
numerical,10,3,0.45,15.069767019344868,0.006874532252150077,0.14177758105755484,0.5301515151515152,2.8542810980000013
