n_particles,dimensions,alpha,sampler,mean_energy,energy_per_particle,standard_error_naive,variance,acceptance_rate,elapsed_time,exact_ground_energy,exact_variational_energy,energy_error_vs_variational
500,2,0.3,brute,566.7756289035468,1.1335512578070936,0.05340347014140711,142.59653115720803,0.6786487272727273,310.0344626350052,500.0,566.6666666666666,0.10896223688018836
500,2,0.35,brute,532.1862035132762,1.0643724070265523,0.036525557286634036,66.70581675495923,0.655185890909091,311.5820837749998,500.0,532.1428571428571,0.04334637041904443
500,2,0.39999999999999997,brute,512.4453965181057,1.0248907930362114,0.02233289944666619,24.93791988474515,0.6337958545454545,312.41275231500185,500.0,512.5,-0.05460348189433262
500,2,0.44999999999999996,brute,502.79992157750166,1.0055998431550033,0.010478495575032052,5.489943475798314,0.6140918181818181,312.9017749650011,500.0,502.77777777777777,0.022143799723892243
500,2,0.5,brute,500.0,1.0,0.0,0.0,0.5955395636363636,312.783936904998,500.0,500.0,0.0
500,2,0.5499999999999999,brute,502.22903245761336,1.0044580649152268,0.009459725547497019,4.474320371698387,0.5785793818181818,312.8175211689959,500.0,502.2727272727272,-0.043694815113838104
500,2,0.6,brute,508.2645323845023,1.0165290647690046,0.01836608946150482,16.865662105399917,0.5624375636363637,313.4891676069965,500.0,508.3333333333333,-0.06880094883103993
500,2,0.6499999999999999,brute,517.2057490272451,1.0344114980544903,0.02646387715954571,35.01683971577626,0.5473624363636364,314.1101335850035,500.0,517.3076923076923,-0.10194328044713075
500,2,0.7,brute,528.4536219694821,1.0569072439389642,0.034596161882401145,59.8447208496653,0.5332926909090909,313.11772091100283,500.0,528.5714285714286,-0.11780660194642678
1,3,0.3,brute,1.697845522585306,1.697845522585306,0.0029031224345278054,0.42140599349293256,0.6024,1.1640839300016523,1.5,1.6999999999999997,-0.0021544774146937673
1,3,0.35,brute,1.6085051583175975,1.6085051583175975,0.0020044319464081477,0.20088737138907778,0.5766,1.2095666309978697,1.5,1.5964285714285713,0.012076586889026242
1,3,0.39999999999999997,brute,1.5406308335007597,1.5406308335007597,0.0012596842194605292,0.07934021663789413,0.5494181818181818,1.2048535039939452,1.5,1.5375,0.0031308335007596
1,3,0.44999999999999996,brute,1.5100872967142966,1.5100872967142966,0.0005892499704427342,0.017360776383338158,0.5268181818181819,1.1897039059986128,1.5,1.5083333333333333,0.0017539633809633415
1,3,0.5,brute,1.5,1.5,0.0,0.0,0.4992,1.1583813719989848,1.5,1.5,0.0
1,3,0.5499999999999999,brute,1.5087592147099407,1.5087592147099407,0.0005047719073161464,0.012739733920779012,0.4873272727272727,1.1897708649994456,1.5,1.506818181818182,0.0019410328917586206
